precio_cop,area_m2,habitaciones,banos,estrato,parqueaderos,antiguedad_anos,conjunto_cerrado,tipo_inmueble,dist_aeropuerto_km,dist_centro_km,dist_san_nicolas_km,barrio,fuente
300000000.0,48.0,2,2,4,1,1,no,apartamento,6.834,1.268,1.385,monseñor alfonso uribe jaramillo,ciencuadras
245000000.0,48.0,3,2,3,,,no,apartamento,8.176,2.583,2.691,rionegro,ciencuadras
317000000.0,55.0,2,2,4,1,,no,apartamento,8.065,2.476,2.585,monseñor alfonso uribe jaramillo,ciencuadras
1100000000.0,100.0,1,3,3,1,,no,casa,6.448,0.888,1.008,monseñor alfonso uribe jaramillo,metrocuadrado
690000000.0,74.0,3,2,5,1,,si,apartamento,6.17,2.873,2.948,san antonio,ciencuadras
780000000.0,96.0,3,3,4,1,,si,apartamento,6.348,1.221,1.341,monseñor alfonso uribe jaramillo,ciencuadras
2500000000.0,300.0,4,5,6,4,,no,casa,5.289,5.891,5.9,rionegro,metrocuadrado
300000000.0,50.0,2,2,3,1,,si,apartamento,3.933,1.885,1.828,el porvenir,ciencuadras
770000000.0,86.0,3,2,5,1,,no,apartamento,6.41,3.521,3.595,san antonio,ciencuadras
530000000.0,70.0,3,2,5,1,1,no,apartamento,8.061,2.465,2.572,monseñor alfonso uribe jaramillo,ciencuadras
395000000.0,73.0,2,2,4,1,,si,apartamento,5.906,2.705,2.772,san antonio,ciencuadras
590000000.0,65.48,2,2,4,1,,no,apartamento,6.311,1.144,1.265,monseñor alfonso uribe jaramillo,ciencuadras
1150000000.0,230.0,4,4,6,1,,no,casa,5.523,0.768,0.836,rionegro,ciencuadras
830000000.0,140.0,4,3,5,1,,no,casa,7.128,1.529,1.635,monseñor alfonso uribe jaramillo,ciencuadras
290000000.0,70.0,3,2,4,1,,no,apartamento,5.814,0.466,0.582,liborio mejia,ciencuadras
550000000.0,88.0,3,2,4,1,,no,apartamento,5.244,0.754,0.778,el porvenir,lonja_propiedad_raiz
5500000000.0,750.0,6,10,6,2,,si,casa,4.631,5.583,5.578,rionegro,ciencuadras
4950000000.0,734.0,4,6,6,2,,no,casa,3.128,7.904,7.836,rionegro,ciencuadras
1850000000.0,300.0,3,5,4,8,,si,casa,5.243,0.754,0.778,el porvenir,ciencuadras
2850000000.0,380.0,3,3,4,2,1,si,casa,5.388,0.928,0.979,el porvenir,ciencuadras
370000000.0,67.0,3,2,4,1,,si,apartamento,5.244,0.754,0.778,el porvenir,ciencuadras
5500000000.0,2016.0,3,5,6,2,,si,casa,4.918,6.935,6.921,rionegro,ciencuadras
535000000.0,66.0,2,2,4,2,1,no,apartamento,3.178,2.657,2.589,el porvenir,ciencuadras
1900000000.0,1000.0,3,2,5,2,,no,casa,6.38,9.804,9.775,rionegro,metrocuadrado
3750000000.0,461.0,4,6,4,,,si,casa,6.38,9.804,9.775,rionegro,ciencuadras
1000000000.0,102.0,2,3,5,2,,no,apartamento,5.244,0.754,0.778,el porvenir,ciencuadras
4500000000.0,392.0,3,5,5,3,,no,casa,4.509,6.192,6.178,rionegro,lonja_propiedad_raiz
595000000.0,60.0,1,2,4,1,,no,apartamento,5.069,7.263,7.248,rionegro,metrocuadrado
350000000.0,45.0,2,2,4,1,1,si,apartamento,3.984,1.675,1.599,el porvenir,metrocuadrado
747500000.0,115.0,3,3,5,1,,si,apartamento,6.553,1.878,1.989,rionegro,metrocuadrado
600000000.0,70.0,2,3,5,1,,si,apartamento,3.327,2.457,2.387,el porvenir,ciencuadras
1350000000.0,128.0,2,3,5,1,1,si,apartamento,2.835,8.372,8.268,rionegro,ciencuadras
1500000000.0,250.0,4,4,4,2,,si,casa,5.076,2.259,2.291,san antonio,ciencuadras
1800000000.0,350.0,5,3,5,2,,no,casa,4.918,6.935,6.921,rionegro,ciencuadras
650000000.0,57.0,1,2,5,1,,si,apartamento,5.079,7.282,7.267,rionegro,lonja_propiedad_raiz
10500000000.0,1568.0,7,13,5,12,,si,casa,4.918,6.935,6.921,rionegro,ciencuadras
640000000.0,75.0,2,2,4,1,,no,apartamento,3.178,2.657,2.589,el porvenir,ciencuadras
570000000.0,76.0,3,2,5,1,,no,apartamento,7.251,2.529,2.648,rionegro,metrocuadrado
4600000000.0,480.0,3,5,6,2,,si,casa,6.232,8.325,8.319,rionegro,metrocuadrado
500000000.0,60.0,2,2,5,1,,si,apartamento,6.035,3.394,3.457,san antonio,ciencuadras
319000000.0,56.0,3,2,4,1,1,si,apartamento,5.645,0.085,0.208,liborio mejia,metrocuadrado
610000000.0,78.0,2,2,5,1,,si,apartamento,5.961,3.766,3.821,san antonio,ciencuadras
360000000.0,95.0,4,2,3,,,no,apartamento,5.543,0.08,0.137,liborio mejia,ciencuadras
480000000.0,58.0,2,2,5,1,,si,apartamento,6.916,3.24,3.334,san antonio,ciencuadras
1490000000.0,300.0,3,4,5,2,,no,casa,5.523,0.768,0.836,rionegro,ciencuadras
719000000.0,162.0,2,2,4,1,1,si,apartamento,5.983,1.082,1.187,monseñor alfonso uribe jaramillo,ciencuadras
3600000000.0,352.0,3,5,5,2,,no,casa,3.78,6.527,6.493,rionegro,ciencuadras
450000000.0,35.0,1,1,5,1,1,si,apartamento,5.314,7.646,7.63,rionegro,ciencuadras
550000000.0,117.0,4,2,2,,,no,casa,5.127,0.524,0.403,liborio mejia,ciencuadras
2700000000.0,300.0,4,5,5,2,,si,casa,5.523,0.768,0.836,rionegro,ciencuadras
560000000.0,62.0,2,2,5,1,,si,apartamento,3.478,2.155,2.07,el porvenir,ciencuadras
540000000.0,76.0,3,2,5,1,,si,apartamento,3.139,2.613,2.539,el porvenir,ciencuadras
700000000.0,60.0,1,2,6,1,13,no,apartamento,4.209,5.468,5.455,rionegro,ciencuadras
598000000.0,72.0,3,2,4,1,1,si,apartamento,5.244,0.754,0.778,el porvenir,metrocuadrado
2800000000.0,350.0,5,5,5,1,,no,casa,8.995,9.591,9.625,rionegro,ciencuadras
590000000.0,76.0,2,2,5,1,1,no,apartamento,6.464,1.626,1.74,san antonio,ciencuadras
750000000.0,167.0,4,4,4,2,1,no,casa,6.516,3.283,3.364,san antonio,ciencuadras
480000000.0,74.0,3,2,4,1,1,si,apartamento,6.437,1.62,1.733,san antonio,lonja_propiedad_raiz
600000000.0,91.0,3,2,5,2,1,si,apartamento,6.327,0.889,1.015,monseñor alfonso uribe jaramillo,lonja_propiedad_raiz
580000000.0,69.0,2,2,5,1,,si,apartamento,3.178,2.657,2.589,el porvenir,metrocuadrado
750000000.0,200.0,4,3,4,1,,no,casa,5.523,0.768,0.836,rionegro,metrocuadrado
850000000.0,162.0,3,4,5,2,1,no,casa,5.997,3.752,3.807,san antonio,metrocuadrado
570000000.0,88.0,2,2,5,1,,si,apartamento,5.244,0.754,0.778,el porvenir,ciencuadras
355000000.0,51.0,3,2,4,1,,no,apartamento,5.385,1.018,0.916,liborio mejia,lonja_propiedad_raiz
380000000.0,56.0,3,2,5,1,,no,apartamento,5.081,1.515,1.4,rionegro,ciencuadras
490000000.0,58.0,2,2,4,2,,no,apartamento,6.916,3.24,3.334,san antonio,ciencuadras
445000000.0,70.0,2,2,5,1,,si,apartamento,2.334,3.752,3.684,rionegro,ciencuadras
280000000.0,52.0,3,2,4,,,si,apartamento,6.973,1.474,1.536,monseñor alfonso uribe jaramillo,metrocuadrado
1350000000.0,220.0,4,3,3,2,,no,casa,10.35,7.649,7.593,rionegro,lonja_propiedad_raiz
250000000.0,49.0,2,2,3,1,,si,apartamento,5.244,0.754,0.778,el porvenir,ciencuadras
280000000.0,48.0,2,2,3,1,,si,apartamento,8.176,2.583,2.691,rionegro,lonja_propiedad_raiz
540000000.0,62.0,2,2,5,1,2,si,apartamento,4.185,5.169,5.157,rionegro,ciencuadras
420000000.0,96.0,3,2,4,1,,no,apartamento,5.244,0.754,0.778,el porvenir,ciencuadras
800000000.0,182.0,3,3,4,2,,si,casa,6.358,0.863,0.988,monseñor alfonso uribe jaramillo,lonja_propiedad_raiz
540000000.0,60.0,3,2,6,1,,no,apartamento,5.602,0.015,0.136,liborio mejia,ciencuadras
2550000000.0,350.0,2,3,5,2,1,si,casa,5.523,0.768,0.836,monseñor alfonso uribe jaramillo,ciencuadras
410000000.0,56.0,2,2,4,,2,si,apartamento,4.062,1.677,1.614,el porvenir,ciencuadras
275000000.0,54.0,2,2,4,1,1,si,apartamento,6.671,1.228,1.274,monseñor alfonso uribe jaramillo,metrocuadrado
276000000.0,49.0,2,2,4,1,,si,apartamento,5.519,0.884,0.794,liborio mejia,lonja_propiedad_raiz
550000000.0,74.0,2,2,6,1,1,no,apartamento,6.346,3.145,3.222,san antonio,ciencuadras
390000000.0,60.0,2,2,4,1,1,si,apartamento,4.812,1.289,1.165,liborio mejia,ciencuadras
2600000000.0,4000.0,4,5,5,8,,si,casa,7.346,2.59,2.71,rionegro,ciencuadras
750000000.0,90.0,3,3,4,1,,si,apartamento,2.576,3.35,3.279,rionegro,ciencuadras
1150000000.0,220.0,3,4,5,2,1,no,casa,5.244,0.754,0.778,el porvenir,ciencuadras
340000000.0,50.0,2,2,3,,1,no,apartamento,5.779,0.201,0.275,liborio mejia,lonja_propiedad_raiz
656000000.0,76.0,2,2,6,1,,si,apartamento,6.03,3.149,3.215,san antonio,ciencuadras
650000000.0,90.0,3,2,6,1,1,si,apartamento,5.244,0.754,0.778,el porvenir,lonja_propiedad_raiz
1000000000.0,200.0,2,2,5,2,1,si,casa,3.143,2.737,2.671,el porvenir,ciencuadras
3500000000.0,550.0,4,4,6,2,1,no,casa,5.244,0.754,0.778,el porvenir,ciencuadras
650000000.0,67.0,1,2,5,1,,no,apartamento,1.649,6.855,6.772,rionegro,ciencuadras
530000000.0,87.73,2,2,4,1,1,no,apartamento,6.334,3.048,3.127,san antonio,ciencuadras
3200000000.0,380.0,3,4,6,2,,si,casa,5.523,0.768,0.836,rionegro,metrocuadrado
770000000.0,79.53,3,2,4,2,,no,apartamento,6.886,3.21,3.304,san antonio,ciencuadras
800000000.0,79.0,3,2,5,1,8,si,apartamento,4.514,1.505,1.481,el porvenir,lonja_propiedad_raiz
2035748609.0,191.74,3,5,5,2,1,si,apartamento,7.271,7.52,7.551,rionegro,metrocuadrado
4300000000.0,620.0,5,7,6,2,,si,casa,4.166,3.894,3.888,rionegro,ciencuadras
6000000000.0,500.0,5,5,,10,1,si,casa_campestre,5.247,0.498,0.494,liborio mejia,ciencuadras
600000000.0,57.0,2,2,5,1,,si,apartamento,3.498,2.659,2.612,el porvenir,ciencuadras
400000000.0,115.0,4,2,3,,,no,apartamento,4.81,1.079,1.059,el porvenir,ciencuadras
1400000000.0,210.0,3,3,5,1,1,si,casa,4.533,3.869,3.876,rionegro,metrocuadrado
720000000.0,120.0,3,4,4,1,16,si,casa,5.894,1.11,1.208,monseñor alfonso uribe jaramillo,ciencuadras
570000000.0,70.0,2,2,5,1,,no,apartamento,2.334,3.752,3.684,rionegro,ciencuadras
560000000.0,67.0,2,2,5,1,1,si,apartamento,3.304,2.682,2.624,el porvenir,ciencuadras
